Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:33,06:03,13:47,17:58,21:31,23:11
2,04:35,06:05,13:47,17:57,21:29,23:09
3,04:36,06:06,13:47,17:56,21:27,23:07
4,04:38,06:08,13:47,17:56,21:26,23:06
5,04:39,06:09,13:47,17:55,21:24,23:04
6,04:41,06:11,13:47,17:54,21:22,23:02
7,04:43,06:13,13:47,17:53,21:20,23:00
8,04:44,06:14,13:47,17:52,21:18,22:58
9,04:46,06:16,13:47,17:51,21:17,22:57
10,04:47,06:17,13:46,17:50,21:15,22:55
11,04:49,06:19,13:46,17:50,21:13,22:53
12,04:51,06:21,13:46,17:49,21:11,22:51
13,04:52,06:22,13:46,17:48,21:09,22:49
14,04:54,06:24,13:46,17:47,21:07,22:47
15,04:55,06:25,13:46,17:46,21:05,22:45
16,04:57,06:27,13:45,17:44,21:03,22:43
17,04:59,06:29,13:45,17:43,21:01,22:41
18,05:00,06:30,13:45,17:42,20:59,22:39
19,05:02,06:32,13:45,17:41,20:56,22:36
20,05:04,06:34,13:44,17:40,20:54,22:34
21,05:05,06:35,13:44,17:39,20:52,22:32
22,05:07,06:37,13:44,17:38,20:50,22:30
23,05:08,06:38,13:44,17:36,20:48,22:28
24,05:10,06:40,13:43,17:35,20:46,22:26
25,05:12,06:42,13:43,17:34,20:44,22:24
26,05:13,06:43,13:43,17:33,20:41,22:21
27,05:15,06:45,13:43,17:31,20:39,22:19
28,05:17,06:47,13:42,17:30,20:37,22:17
29,05:18,06:48,13:42,17:29,20:35,22:15
30,05:20,06:50,13:42,17:27,20:32,22:12
31,05:21,06:51,13:41,17:26,20:30,22:10
