Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:07,07:37,12:25,14:45,17:12,18:52
2,06:08,07:38,12:25,14:44,17:10,18:50
3,06:10,07:40,12:25,14:43,17:08,18:48
4,06:12,07:42,12:25,14:41,17:06,18:46
5,06:14,07:44,12:25,14:40,17:05,18:45
6,06:16,07:46,12:25,14:39,17:03,18:43
7,06:17,07:47,12:25,14:37,17:01,18:41
8,06:19,07:49,12:25,14:36,17:00,18:40
9,06:21,07:51,12:25,14:35,16:58,18:38
10,06:23,07:53,12:25,14:33,16:56,18:36
11,06:25,07:55,12:25,14:32,16:55,18:35
12,06:26,07:56,12:25,14:31,16:53,18:33
13,06:28,07:58,12:25,14:30,16:52,18:32
14,06:30,08:00,12:26,14:29,16:51,18:31
15,06:32,08:02,12:26,14:28,16:49,18:29
16,06:33,08:03,12:26,14:27,16:48,18:28
17,06:35,08:05,12:26,14:26,16:46,18:26
18,06:37,08:07,12:26,14:25,16:45,18:25
19,06:38,08:08,12:27,14:24,16:44,18:24
20,06:40,08:10,12:27,14:23,16:43,18:23
21,06:42,08:12,12:27,14:22,16:42,18:22
22,06:43,08:13,12:27,14:21,16:41,18:21
23,06:45,08:15,12:28,14:21,16:40,18:20
24,06:47,08:17,12:28,14:20,16:39,18:19
25,06:48,08:18,12:28,14:19,16:38,18:18
26,06:50,08:20,12:29,14:18,16:37,18:17
27,06:51,08:21,12:29,14:18,16:36,18:16
28,06:53,08:23,12:29,14:17,16:35,18:15
29,06:54,08:24,12:30,14:17,16:34,18:14
30,06:56,08:26,12:30,14:16,16:34,18:14
