Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:57,07:27,12:53,15:43,18:21,20:01
2,05:54,07:24,12:53,15:44,18:23,20:03
3,05:52,07:22,12:53,15:45,18:25,20:05
4,05:50,07:20,12:53,15:47,18:26,20:06
5,05:48,07:18,12:53,15:48,18:28,20:08
6,05:46,07:16,12:52,15:49,18:30,20:30
7,05:43,07:13,12:52,15:50,18:32,20:12
8,05:41,07:11,12:52,15:52,18:34,20:14
9,05:39,07:09,12:52,15:53,18:35,20:15
10,05:36,07:06,12:51,15:54,18:37,20:17
11,05:34,07:04,12:51,15:55,18:39,20:19
12,05:32,07:02,12:51,15:56,18:41,20:21
13,05:30,07:00,12:50,15:57,18:42,20:22
14,05:27,06:57,12:50,15:59,18:44,20:24
15,05:25,06:55,12:50,16:00,18:46,20:26
16,05:23,06:53,12:50,16:01,18:48,20:28
17,05:20,06:50,12:49,16:02,18:49,20:29
18,05:18,06:48,12:49,16:03,18:51,20:31
19,05:16,06:46,12:49,16:04,18:53,20:33
20,05:13,06:43,12:48,16:05,18:55,20:35
21,05:11,06:41,12:48,16:06,18:56,20:36
22,05:09,06:39,12:48,16:07,18:58,20:38
23,05:06,06:36,12:48,16:08,19:00,20:40
24,05:04,06:34,12:47,16:09,19:01,20:41
25,05:02,06:32,12:47,16:10,19:03,20:43
26,04:59,06:29,12:47,16:11,19:05,20:45
27,04:57,06:27,12:46,16:12,19:07,20:47
28,04:55,06:25,12:46,16:13,19:08,20:48
29,04:53,06:23,12:46,16:14,19:10,20:50
30,04:50,06:21,12:45,16:15,19:12,20:52
31,04:48,06:19,12:45,16:16,19:14,20:54
