Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:57,05:27,13:39,18:00,21:52,23:32
2,03:56,05:26,13:39,18:00,21:53,23:33
3,03:55,05:25,13:39,18:01,21:54,23:34
4,03:54,05:24,13:40,18:01,21:55,23:35
5,03:54,05:24,13:40,18:02,21:56,23:36
6,03:53,05:23,13:40,18:02,21:57,23:37
7,03:53,05:23,13:40,18:02,21:58,23:38
8,03:52,05:22,13:40,18:03,21:59,23:39
9,03:52,05:22,13:40,18:03,21:59,23:39
10,03:51,05:21,13:41,18:04,22:00,23:40
11,03:51,05:21,13:41,18:04,22:01,23:41
12,03:51,05:21,13:41,18:04,22:01,23:41
13,03:51,05:21,13:41,18:05,22:02,23:42
14,03:51,05:21,13:41,18:05,22:03,23:43
15,03:50,05:20,13:42,18:05,22:03,23:43
16,03:50,05:20,13:42,18:06,22:04,23:44
17,03:50,05:20,13:42,18:06,22:04,23:44
18,03:50,05:20,13:42,18:06,22:04,23:44
19,03:51,05:21,13:43,18:06,22:05,23:45
20,03:51,05:21,13:43,18:07,22:05,23:45
21,03:51,05:21,13:43,18:07,22:05,23:45
22,03:51,05:21,13:43,18:07,22:05,23:45
23,03:52,05:22,13:43,18:07,22:05,23:45
24,03:52,05:22,13:44,18:07,22:05,23:45
25,03:52,05:22,13:44,18:08,22:05,23:45
26,03:53,05:23,13:44,18:08,22:05,23:45
27,03:53,05:23,13:44,18:08,22:05,23:45
28,03:54,05:24,13:44,18:08,22:05,23:45
29,03:54,05:24,13:45,18:08,22:05,23:45
30,03:55,05:25,13:45,18:08,22:04,23:44
