Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,03:38,05:28,13:42,18:02,21:54,23:30
2,03:38,05:27,13:42,18:02,21:55,23:30
3,03:38,05:27,13:42,18:03,21:56,23:30
4,03:38,05:26,13:42,18:03,21:57,23:30
5,03:37,05:25,13:42,18:04,21:58,23:30
6,03:37,05:25,13:43,18:04,21:59,23:30
7,03:37,05:24,13:43,18:05,22:00,23:30
8,03:37,05:24,13:43,18:05,22:01,23:30
9,03:36,05:23,13:43,18:05,22:01,23:30
10,03:36,05:23,13:43,18:06,22:02,23:30
11,03:37,05:23,13:44,18:06,22:03,23:30
12,03:36,05:22,13:44,18:06,22:03,23:30
13,03:36,05:22,13:44,18:07,22:04,23:30
14,03:36,05:22,13:44,18:07,22:05,23:30
15,03:36,05:22,13:44,18:07,22:05,23:30
16,03:37,05:22,13:45,18:08,22:06,23:30
17,03:37,05:22,13:45,18:08,22:06,23:30
18,03:37,05:22,13:45,18:08,22:06,23:30
19,03:37,05:22,13:45,18:08,22:07,23:30
20,03:37,05:22,13:45,18:09,22:07,23:30
21,03:37,05:22,13:46,18:09,22:07,23:30
22,03:37,05:22,13:46,18:09,22:07,23:30
23,03:38,05:23,13:46,18:09,22:07,23:30
24,03:38,05:23,13:46,18:09,22:07,23:30
25,03:37,05:23,13:47,18:09,22:07,23:30
26,03:38,05:24,13:47,18:09,22:07,23:30
27,03:38,05:24,13:47,18:10,22:07,23:30
28,03:39,05:25,13:47,18:10,22:07,23:30
29,03:40,05:26,13:47,18:10,22:07,23:30
30,03:40,05:26,13:48,18:10,22:07,23:30
