Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,04:32,06:02,13:47,17:58,21:32,23:12
2,04:34,06:04,13:47,17:58,21:30,23:10
3,04:35,06:05,13:47,17:57,21:28,23:08
4,04:37,06:07,13:47,17:56,21:27,23:07
5,04:39,06:09,13:47,17:55,21:25,23:05
6,04:40,06:10,13:47,17:54,21:23,23:03
7,04:42,06:12,13:47,17:54,21:21,23:01
8,04:43,06:13,13:47,17:53,21:19,22:59
9,04:45,06:15,13:47,17:52,21:17,22:57
10,04:47,06:17,13:47,17:51,21:16,22:56
11,04:48,06:18,13:46,17:50,21:14,22:54
12,04:50,06:20,13:46,17:49,21:12,22:52
13,04:51,06:21,13:46,17:48,21:10,22:50
14,04:53,06:23,13:46,17:47,21:08,22:48
15,04:55,06:25,13:46,17:46,21:06,22:46
16,04:56,06:26,13:45,17:45,21:04,22:44
17,04:58,06:28,13:45,17:44,21:02,22:42
18,04:59,06:29,13:45,17:43,21:00,22:40
19,05:01,06:31,13:45,17:42,20:58,22:38
20,05:03,06:33,13:45,17:41,20:55,22:35
21,05:04,06:34,13:44,17:39,20:53,22:33
22,05:06,06:36,13:44,17:38,20:51,22:31
23,05:08,06:38,13:44,17:37,20:49,22:29
24,05:09,06:39,13:44,17:36,20:47,22:27
25,05:11,06:41,13:43,17:34,20:45,22:25
26,05:13,06:43,13:43,17:33,20:43,22:23
27,05:14,06:44,13:43,17:32,20:40,22:20
28,05:16,06:46,13:42,17:31,20:38,22:18
29,05:17,06:47,13:42,17:29,20:36,22:16
30,05:19,06:49,13:42,17:28,20:34,22:14
31,05:21,06:51,13:41,17:27,20:31,22:11
