Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,06:13,07:43,13:31,16:36,19:18,20:58
2,06:14,07:44,13:30,16:34,19:15,20:55
3,06:16,07:46,13:30,16:33,19:13,20:53
4,06:18,07:48,13:30,16:31,19:11,20:51
5,06:19,07:49,13:29,16:29,19:08,20:48
6,06:21,07:51,13:29,16:28,19:06,20:46
7,06:23,07:53,13:29,16:26,19:04,20:44
8,06:24,07:54,13:28,16:24,19:02,20:42
9,06:26,07:56,13:28,16:22,18:59,20:39
10,06:28,07:58,13:28,16:21,18:57,20:37
11,06:30,08:00,13:28,16:19,18:55,20:35
12,06:31,08:01,13:27,16:17,18:53,20:33
13,06:33,08:03,13:27,16:16,18:50,20:30
14,06:35,08:05,13:27,16:14,18:48,20:28
15,06:36,08:06,13:27,16:12,18:46,20:26
16,06:38,08:08,13:27,16:11,18:44,20:24
17,06:40,08:10,13:26,16:09,18:42,20:22
18,06:42,08:12,13:26,16:07,18:40,20:20
19,06:43,08:13,13:26,16:06,18:38,20:18
20,06:45,08:15,13:26,16:04,18:35,20:15
21,06:47,08:17,13:26,16:02,18:33,20:13
22,06:49,08:19,13:25,16:01,18:31,20:11
23,06:51,08:21,13:25,15:59,18:29,20:09
24,06:52,08:22,13:25,15:57,18:27,20:07
25,06:54,08:24,13:25,15:56,18:25,20:05
26,05:56,07:26,12:25,14:54,17:23,19:03
27,05:58,07:28,12:25,14:53,17:21,19:01
28,05:59,07:29,12:25,14:51,17:19,18:59
29,06:01,07:31,12:25,14:50,17:17,18:57
30,06:03,07:33,12:25,14:48,17:15,18:55
31,06:05,07:35,12:25,14:47,17:14,18:54
