Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:13,06:55,13:44,17:24,20:29,22:11
2,05:15,06:57,13:43,17:23,20:27,22:08
3,05:17,06:58,13:43,17:21,20:25,22:05
4,05:19,07:00,13:43,17:20,20:22,22:02
5,05:21,07:02,13:42,17:18,20:20,21:59
6,05:24,07:03,13:42,17:17,20:18,21:57
7,05:26,07:05,13:42,17:15,20:15,21:54
8,05:28,07:06,13:41,17:14,20:13,21:51
9,05:30,07:08,13:41,17:12,20:11,21:48
10,05:32,07:10,13:41,17:11,20:08,21:46
11,05:34,07:11,13:40,17:09,20:06,21:43
12,05:36,07:13,13:40,17:07,20:04,21:40
13,05:38,07:15,13:40,17:06,20:01,21:38
14,05:40,07:16,13:39,17:04,19:59,21:35
15,05:42,07:18,13:39,17:02,19:57,21:32
16,05:44,07:20,13:38,17:01,19:54,21:30
17,05:46,07:21,13:38,16:59,19:52,21:27
18,05:48,07:23,13:38,16:57,19:50,21:24
19,05:49,07:24,13:37,16:56,19:47,21:22
20,05:51,07:26,13:37,16:54,19:45,21:19
21,05:53,07:28,13:37,16:52,19:43,21:17
22,05:55,07:29,13:36,16:51,19:40,21:14
23,05:57,07:31,13:36,16:49,19:38,21:12
24,05:59,07:33,13:36,16:47,19:36,21:09
25,06:01,07:34,13:35,16:46,19:33,21:07
26,06:02,07:36,13:35,16:44,19:31,21:04
27,06:04,07:38,13:35,16:42,19:29,21:02
28,06:06,07:39,13:34,16:41,19:26,20:59
29,06:08,07:41,13:34,16:39,19:24,20:57
30,06:10,07:43,13:34,16:38,19:22,20:54
