Day,Fajr,Shuruk,Duhr,Asr,Maghrib,Isha
1,05:42,07:35,13:36,16:37,19:23,21:09
2,05:44,07:36,13:36,16:35,19:20,21:06
3,05:45,07:38,13:35,16:33,19:18,21:04
4,05:47,07:40,13:35,16:32,19:16,21:01
5,05:49,07:41,13:35,16:30,19:13,20:59
6,05:51,07:43,13:34,16:28,19:11,20:56
7,05:53,07:45,13:34,16:26,19:09,20:54
8,05:54,07:46,13:34,16:25,19:07,20:52
9,05:56,07:48,13:34,16:23,19:04,20:49
10,05:58,07:50,13:33,16:21,19:02,20:47
11,06:00,07:51,13:33,16:20,19:00,20:45
12,06:01,07:53,13:33,16:18,18:58,20:43
13,06:03,07:55,13:33,16:16,18:55,20:40
14,06:05,07:57,13:32,16:14,18:53,20:38
15,06:07,07:58,13:32,16:13,18:51,20:36
16,06:08,08:00,13:32,16:11,18:49,20:34
17,06:10,08:02,13:32,16:09,18:47,20:32
18,06:12,08:04,13:31,16:08,18:45,20:30
19,06:13,08:05,13:31,16:06,18:42,20:28
20,06:15,08:07,13:31,16:04,18:40,20:26
21,06:17,08:09,13:31,16:03,18:38,20:24
22,06:19,08:11,13:31,16:01,18:36,20:22
23,06:20,08:12,13:31,16:00,18:34,20:20
24,06:22,08:14,13:30,15:58,18:32,20:18
25,06:23,08:16,13:30,15:56,18:30,20:16
26,05:25,07:18,12:30,14:55,17:28,19:14
27,05:27,07:20,12:30,14:53,17:26,19:12
28,05:28,07:21,12:30,14:52,17:24,19:11
29,05:30,07:23,12:30,14:50,17:22,19:09
30,05:32,07:25,12:30,14:49,17:20,19:07
31,05:33,07:27,12:30,14:47,17:18,19:05
